CVE-2024-35235,httpAddrListen,libcups.so.2,libcups2t64_2.4.10-1,111,3
CVE-2022-33099,luaV_concat,liblua5.1.so.0,liblua5.1-0_5.1.5-9%2Bb2,93,88
CVE-2024-1013,SQLStatistics,libodbc.so.2,libodbc2_2.3.12-1%2Bb2,81,70
CVE-2023-5217,vp8_change_config,libvpx.so.9,libvpx9_1.14.1-1,80,67
CVE-2023-31147,ares_destroy,libcares.so.2,libcares2_1.31.0-1,79,61
CVE-2023-50471,cJSON_SetValuestring,libcjson.so.1,libcjson1_1.7.18-3,76,1
CVE-2024-31578,av_hwframe_ctx_init,libavutil.so.58,libavutil58_7:6.1.1-4%2Bb4,76,60
CVE-2022-1475,g729_parse,libavcodec.so.60,libavcodec60_7:6.1.1-4%2Bb4,72,59
CVE-2024-28836,mbedtls_ssl_session_reset_int,libmbedtls.so.14,libmbedtls14t64_2.28.8-1,70,54
CVE-2022-1215,evdev_device_get_sysname,libinput.so.10,libinput10_1.26.0-1,63,39
CVE-2022-48468,parse_required_member,libprotobuf-c.so.1,libprotobuf-c1_1.4.1-1+b2,61,37
CVE-2022-28805,singlevar,liblua5.3.so.0,liblua5.3-0_5.3.6-2+b2,61,53
CVE-2023-2283,pki_verify_data_signature,libssh-gcrypt.so.4,libssh-gcrypt-4_0.10.6-3,60,40
CVE-2023-39976,_blackbox_vlogger,libqb.so.100,libqb100_2.0.8-2,55,54
CVE-2022-48554,file_copystr,libmagic.so.1,libmagic1t64_1:5.45-3,55,48
CVE-2022-3341,nut_read_header,libavformat.so.60,libavformat60_7:6.1.1-4%2Bb4,50,38
CVE-2024-24806,uv__idna_toascii,libuv.so.1,libuv1t64_1.48.0-5,50,9
